HVPID,name,Prescription Composition,Instructions,Treatment Symptoms,Source Document
HVP2169,藿香饮,人参（去芦）1两，半夏（炮裂）1两，赤茯苓（去皮）1两，甘草（炙）1两，苍术（米泔水浸1宿，去粗皮，滤干，锉片，用火炒至微黄色）2两，陈皮（去白）7钱半，藿香（去皮）7钱半，厚朴（去粗皮，锉碎，每1斤用生姜1斤，薄片切，烂杵，拌匀，酿1宿，慢火炒干用）1两半。,,"脾胃不和，饮食少进。[Disharmony between the spleen and stomach, diet into less.(Machine translation.)]",《活幼心书》卷下。功效:理虚化痰，正气除邪。
HVP2170,葛花半夏汤,党参（去芦，米炒）3钱，半夏（制）2钱，葛花2钱，白术（净）1钱5分，茯苓1钱5分，陈皮1钱，炙草7分，生姜2片。,,好饮酒人噎膈。[A good drinker chokes.(Machine translation.)],《不知医必要》卷三。
HVP2171,补心汤,远志4两，蒲黄（1方用菖蒲）4两，人参4两，茯苓4两。,,"心气不足，心痛惊恐。[Lack of heart qi, heartache and panic.(Machine translation.)]",《千金》卷十四。
HVP2172,补心汤,人参、当归、茯神、远志、地黄、甘草、柏子仁。,,"怵惕思虑，伤神涸血，心包络痛。[Fear, worry, hurt, dry blood, heart pain.(Machine translation.)]",《杂病源流犀烛》卷六。
HVP2173,白龙散,白及、水龙骨。,,白蛇缠腰。[White snake around the waist.(Machine translation.)],《仙拈集》卷四。
HVP2174,左金汤,白术（净）1钱5分，陈皮1钱5分，黄连8分，吴萸（泡）4分。,,肝火胁痛。[Liver fire and flank pain.(Machine translation.)],《不知医必要》卷二。
HVP2175,六和汤,党参（米炒，去芦）1钱，半夏（制）1钱，砂仁（杵）1钱，扁豆（炒，杵）2钱，藿香2钱，赤茯苓2钱，木瓜2钱，炙草1钱。,,"夏秋暑湿伤脾，或饮冷乘风，多食瓜果，以致客寒犯胃，食留不化，遂成霍乱。[Summer and autumn heat dampness injury spleen, or drink cold wind, eat more melons and fruits, so that guest cold invasion stomach, food stay not, then become cholera.(Machine translation.)]",《不知医必要》卷二。
HVP2176,六和汤,陈皮、半夏、白茯苓、甘草、黄连、厚朴、藿香、香薷、扁豆、木瓜。,,"长夏外夹感暑吐泻；热痢。[In the long summer, there was vomiting and diarrhea in summer; Dysentery.(Machine translation.)]",《幼科铁镜》卷六。
HVP2177,天麻六君子汤,党参（去芦，米炒）2钱，白术（净）2钱，半夏（制）1钱5分，天麻1钱5分，茯苓1钱5分，陈皮1钱，炙草1钱。,,眩晕兼有痰或呕者。[Vertigo with phlegm or vomiting.(Machine translation.)],《不知医必要》卷二。
HVP2178,立效散,木香3钱，胆矾1钱，麝香1分。,,"风痰危急，汤水不下。[The wind and phlegm are critical, and the soup can't go down.(Machine translation.)]",《仙拈集》卷一。
HVP2179,立效散,蛇退（火烧存性）（一方加冰片）。,,"耳内忽作大痛，如有虫在内奔走，殊痛，或出血，或出水，或干痛，不可忍者。[There is a sudden pain in the ear. If there are insects running inside, there is a special pain, or there is bleeding, or there is water, or there is dry pain.(Machine translation.)]",《疡医大全》卷十三。
HVP2180,立效散,白附子（炮）2两，橘红2两。,,疟。[Malaria.(Machine translation.)],《魏氏家藏方》卷一。
HVP2181,立效散,五灵脂（慢火熬）。,,产后儿枕痛不可忍。[Postpartum pain is unbearable.(Machine translation.)],方出《妇人良方》卷二十，名见《医学纲目》卷二十二。
HVP2182,镇惊丹,当归3钱，朱砂（研末）2分。,,夜寐惊悸。[Night sleep and palpitation.(Machine translation.)],《不知医必要》卷二。
HVP2183,茅根汤,茅根（锉碎）1两半，滑石1两半，车前子（微炒）1两半，大黄（锉碎，微炒）1两半。,,"妊娠大小便不通，结闷气急，胀满欲死。[Pregnancy, urine and feces, knot stuffy, shortness of breath, fullness, want to die.(Machine translation.)]",《圣济总录》卷一五七。
HVP2184,桂苓术附汤,白术（净，炒）3钱，茯苓3钱，肉桂（去皮，另炖）4分，附子（制）1钱。,,饮症属虚寒者。[Yin Syndrome belongs to deficiency cold.(Machine translation.)],《不知医必要》卷二。
HVP2185,消毒凉膈散,防风、荆芥、牛蒡子、连翘、栀子、黄芩、芒消、大黄、薄荷、甘草。,,喉痹，咽喉肿痛。[Sore throat.(Machine translation.)],《医家四要》卷三。
HVP2186,杜仲汤,川杜仲（盐水炒去丝）1两。,,"肾虚腰痛脚软。[Kidney deficiency, low back pain and soft feet.(Machine translation.)]",《不知医必要》卷二。
HVP2187,加味附子理中汤,党参（去芦，米炒）2钱，白术（净炒）1钱5分，当归1钱5分，干姜（炒）1钱，附子（制）1钱，木通1钱，吴萸（泡）6分，肉桂（去皮，另炖）4分，炙草7分。,,"寒痛绵绵不休，手足俱冷者。[Cold pain endlessly, hands and feet are cold.(Machine translation.)]",《不知医必要》卷二。
HVP2188,加味附子理中汤,人参2钱，干姜1钱，白术1钱，细辛5分，甘草1钱，葱白1寸，大枣1枚。,,"瞑目症。二目不疼不肿，紧闭难睁，头晕神昏。[Sleep in peace. Two eyes do not hurt not swollen, closed hard to open, dizziness.(Machine translation.)]",《眼科临症笔记》。
HVP2189,香附汤,香附（酒炒，杵）2钱。,,心气痛。[Heartache.(Machine translation.)],《不知医必要》卷二。
HVP2190,泻肺汤,地骨皮1两，大黄1两，芒消1两，桔梗1两，甘草1两。,,眼白仁常泪，红壅热眵，泪出而不绝者。[The eyes are white and the eyes are full of tears.(Machine translation.)],《银海精微》卷上。
HVP2191,牛膝汤,牛膝（酒浸，切，焙）半两，冬葵子（炒）半两。,,"妊娠堕胎，胞衣不下。[Pregnancy, abortion, no afterbirth.(Machine translation.)]",《圣济总录》卷一五八。
HVP2192,牛膝汤,牛膝1斤，白茯苓1两，人参1两，当归半两。,,脚气。[Beriberi.(Machine translation.)],《朱氏集验方》卷一。
HVP2193,消毒散,雄黄8钱，蜈蚣2条。,,指头疮。[Finger sores.(Machine translation.)],《不知医必要》卷四。
HVP2194,消毒散,牛蒡子2两（炒，纸衬），甘草半两（锉，炒），荆芥穗1两，防风1两。,,"外犯风寒，痘疹、麻疹出而不畅，咽喉肿痛。大便不通。疮发身痛。麻疹既出，1日而又没者，为风寒所冲，麻毒内攻。痘后将发痈毒。[Outside the cold, pox rash, measles out and not smooth, sore throat. No bowel movement. The sore is painful. Measles both out, 1 day and no, for the cold by Chong, Ma poison attack. Carbuncle poison will be produced after pox.(Machine translation.)]",《卫生总微》卷八引《千金》。
HVP2195,消毒散,黄芩1两，黄柏1两，大黄（生用）半两。,,"眼赤肿，疼痛不定；兼治疮肿不消。[The eye is red and swollen, and the pain is uncertain; It can also cure sore and swelling.(Machine translation.)]",《御药院方》卷十。
HVP2196,消毒散,金银花、连翘、白蒺藜、荆芥、白芷、牛蒡子、防风、白鲜皮、赤芍药、甘草。,,遍身痒疥。[Itching all over the body.(Machine translation.)],《疡医大全》卷三十五。
HVP2197,消毒散,当归半两，白芷半两，甘草（生）半两，赤小豆半两，紫草茸半两，贝母1两。,,痈疽恶毒。[Carbuncle is vicious.(Machine translation.)],《直指》卷二十二。
HVP2198,牛膝煎,牛膝（去苗）2两，天麻2两，附子（炮裂，去皮脐，生用）2两，羌活（去芦头）2两，当归（切，焙）1两。,,"伤寒后，或中风湿，毒气流注，腰脊日夜疼痛。[After typhoid, or in rheumatism, gas flow, lumbar pain day and night.(Machine translation.)]",《圣济总录》卷三十三。
HVP2199,瓜皮散,冬瓜皮（焙）。,,"多年恶疮，伤损腰痛。[Years of sores, injury, low back pain.(Machine translation.)]",《不知医必要》卷四。
HVP2200,养胎饮,熟地黄。,,胎漏。[Fetal leakage.(Machine translation.)],《医方类聚》卷二二七引《吴氏集验方》。
HVP2201,开豁腠理汤,升麻、葛根、羌活、荆芥、防风、前胡、紫苏、牛蒡子、陈皮、甘草、桔梗、枳壳。,,麻疹。[Measles.(Machine translation.)],《专治麻痧初编》卷三引《痘疹折衷》。
HVP2202,加味金花丸,黄连1两，黄柏1两，黄芩（并酒炒）1两，栀子1两，大黄（煨）5钱，人参5钱，半夏5钱，桔梗5钱。,,三焦火。[Three coke fire.(Machine translation.)],《东医宝鉴》卷三引《必用》。功效:泻三焦火，止嗽化痰，清头目。
HVP2203,补髓膏,破故纸1两（锅内炒令8分熟，再入麻油半两，同炒，以麻油香为度）。,,腰痛。[lumbago.(Machine translation.)],《普济方》卷一五四引《卫生家宝》。
HVP2204,调中益气汤,黄耆1钱，人参5分，苍术5分，陈皮5分，升麻3分，炙甘草3分，柴胡3分，黄柏3分，木香3分，当归5分，白术5分，白芍5分。,,病后耳鸣耳聋。[Tinnitus and deafness after the illness.(Machine translation.)],《嵩崖尊生》卷六。
HVP2205,芍药补气汤,黄耆1两，白芍药1两半，橘皮（不去白）1两，泽泻半两，甘草（炙）1两。,,"肺气不行，皮肤间麻木。[Lung qi is not good, skin numbness.(Machine translation.)]",《东垣试效方》卷九引张洁古方。
HVP2206,益智调中汤,白豆蔻3分，益智仁3分，缩砂仁2分，甘草2分，姜黄3分，厚朴3分，陈皮7分，泽泻3分，黄耆7分，干姜3分，人参2分。,,"因服寒药过多，致脾胃虚弱胃脘痛。[Due to taking too much cold medicine, the spleen and stomach are weak and stomachache is caused.(Machine translation.)]",《东垣试效方》卷二。
HVP2207,养胃增液汤,石斛、乌梅、北沙参、玉竹、甘草、白芍。,,"小儿厌食。口干多饮而不喜进食，皮肤干燥，大便干结，舌苔光剥，或舌红少津，脉细。[Anorexia in children. Dry mouth and drink more than eating, dry skin, dry stool, tongue coating light peel, or red tongue less fluid, pulse fine.(Machine translation.)]",《中医儿科学》。功效:养胃育阴。
HVP2208,参附龙牡救逆汤,人参、附子、龙骨、牡蛎、白芍、炙甘草。,,"心阳虚衰，突然面色苍白而青，口唇发紫，呼吸浅促，额汗不温，四肢厥冷，虚烦不安，右胁下并可出现瘀块，舌苔薄白，质暗紫，脉象微弱疾数。[Heart yang deficiency failure, suddenly pale and green face, purple lips, shallow shortness of breath, forehead sweat is not warm, limbs cold, deficiency and restlessness, blood stasis can appear under the right flank, tongue coating thin white, dark purple, weak pulse, disease number.(Machine translation.)]",《中医儿科学》。功效:温补心阳，救逆固脱。
HVP2209,乌梅膏,乌梅。,,"久咳经年，百药不效，余无他症，与劳嗽异者。[Cough for a long time, a hundred drugs do not work, the rest without other diseases, and labor cough different.(Machine translation.)]",《杂病源流犀烛》卷一。
HVP2210,地龙片,地龙（研粉）。,,No Data.[无数据],《中医外科学》。功效:祛风潜镇。
HVP2211,党参片,党参。,,No Data.[无数据],《中医外科学》。功效:补气。
HVP2212,收肛散,熊胆5分，孩儿茶3分，冰片1分。,,"热泻脱肛、痔疮。[Heat diarrhea, prolapse, hemorrhoids.(Machine translation.)]",《医方考》卷三。
HVP2213,蛇床子散,蛇床子（炒）1两，莨菪子（炒）1两，芸苔子（炒）1两，胡荽子1两，芫花（醋炒）1两。,,久患走注疼痛。[Long suffering from walking pain.(Machine translation.)],《圣济总录》卷一○○。
HVP2214,蛇床子散,蛇床子（炒）2两。,,小儿诸癣及瘙痒。[Infantile tinea and pruritus.(Machine translation.)],《圣济总录》卷一八二。
HVP2215,宫外孕Ⅰ号方,赤芍15g，丹参15g，桃仁9g。,,"宫外孕已破损型。突发下腹剧痛，拒按，面色苍白，四肢厥逆，冷汗淋漓，恶心呕吐，血压下降或不稳定，有时烦躁不安或表情淡漠，脉微欲绝或细数无力。[Ectopic pregnancy has been damaged. Sudden lower abdominal pain, refuse to press, pale, limbs, cold sweat dripping, nausea and vomiting, blood pressure drop or instability, sometimes restless or indifferent expression, weak pulse or weak count.(Machine translation.)]",《中医妇科学》。功效:活血祛瘀。
HVP2216,加味二黄散,生地黄3钱，熟地黄3钱，旱莲草3钱，女贞子3钱，白术2钱。,,"妊娠血虚，胎漏下血，量少色淡，头晕目眩，手心热，心烦、腹微痛，舌质红，苔薄黄，脉虚数而滑。[Blood deficiency in pregnancy, fetal blood leakage, small amount, light color, dizziness, hot palm, upset, abdominal pain, red tongue, thin yellow fur, and slippery pulse.(Machine translation.)]",《中医妇科治疗学》。功效:养血滋阴。
HVP2217,分清饮,茯苓2钱，泽泻2钱，木通2钱，猪苓2钱，栀子2钱，枳壳1钱，茵陈3钱。,,"转服热盛。妊娠数月，小便短黄，继则不通，小腹胀痛，面色微黄，心烦不安，舌质微红，苔腻而黄，脉滑数。[It's very hot. After a few months of pregnancy, the urine is short and yellow, then it is blocked, the abdomen is swollen and painful, the face is slightly yellow, upset, the tongue is slightly red, the moss is greasy and yellow, and the pulse is smooth.(Machine translation.)]",《中医妇科治疗学》。功效:清热利湿。
HVP2218,加味五苓散,白术3钱，茯苓3钱，泽泻2钱，猪苓2钱，肉桂2钱。,,子死腹中；胞衣不下。[The son died in the belly; There's no way to shed the cytoplasm.(Machine translation.)],《会约》卷十五。
HVP2219,加味五苓散,白术1两半（炒），厚朴1两半（制），干姜1两半，猪苓1两半，茯苓3两，泽泻1两半，肉桂1两半（去皮）。,,"寒湿发黄，腹满疼痛，脉紧细者。[Cold dampness yellow, abdominal pain, pulse tight thin.(Machine translation.)]",《医略六书》卷二十。
HVP2220,归芍甘麦汤,当归2钱，杭芍4钱，白术3钱，柴胡2钱，茯神3钱，甘草1钱，小麦1两（或麦芽6钱），大枣3枚。,,"产后乳汁自出，面色苍黄，间有潮红，心烦易怒，头晕胁胀，舌黄，脉弦数。[Postpartum milk from out, pale yellow face, between flush, irritable, dizziness, hypochondriac distension, yellow tongue, pulse string number.(Machine translation.)]",《中医妇科治疗学》。功效:舒肝解郁。
HVP2221,加味蠲饮六神汤,胆南星3钱，天竺黄1钱半，半夏曲3钱，茯神3钱，旋覆花2钱，竹沥10滴，钩藤3钱。,,"产后神昏，角弓反张，或口噤不语，胸脘痞闷，痰鸣气逆，发热，大便秘结，舌苔黄腻，脉弦滑而数。[Postpartum unconsciousness, angular distention, or mouth silence, chest and epigastric fullness, phlegm and Qi inversion, fever, constipation, tongue coating yellow greasy, pulse string slippery and number.(Machine translation.)]",《中医妇科治疗学》。功效:豁痰开窍。
HVP2222,活血散,白芍药1两（酒炒），紫草茸1钱半。,,"痘疹已出未尽，烦躁不宁，肚腹疼痛。[Acne has not been out, restless, abdominal pain.(Machine translation.)]",《明医杂著》卷六。
HVP2223,活血散,赤芍药。,,疮疹已出不快。[The rash has come out.(Machine translation.)],《杨氏家藏方》卷十九。
HVP2224,活血散,白芍药1钱。,,"疹子或出不快；痘疹血虚血热，已出未尽，烦躁不宁，腹痛。[Rash or rash; Pox rash blood deficiency, blood heat, has not been out, restless, abdominal pain.(Machine translation.)]",《活人书》卷二十一。功效:活血止痛。
HVP2225,补脾止带汤,白术、泽泻、女贞子、乌贼骨。,,脾虚白带。[Spleen deficiency leucorrhea.(Machine translation.)],《中医症状鉴别诊断学》。
HVP2226,化瘀止血汤,丹参、赤芍、茜草、三七、降香。,,"胃脘血瘀吐血，血色紫，挟有瘀块，多伴胃脘刺痛，疼处固定，拒按，面色暗晦，脉涩。[Blood stasis in the stomach, hematemesis, blood color purple, with blood stasis, often accompanied by epigastric pain, pain fixed, refused to press, dark complexion, pulse.(Machine translation.)]",《中医症状鉴别诊断学》。功效:活血化瘀，止血降逆。
HVP2227,柴附汤,柴胡、香附、郁金、丹参、枳实、当归、赤芍、益母草。,,"流产后肝气郁结闭经，下腹作胀或胀痛，或少腹疼痛，或乳房发胀。[After abortion liver qi stagnation amenorrhea, abdominal distension or pain, or less abdominal pain, or breast swelling.(Machine translation.)]",《中医症状鉴别诊断学》。功效:疏肝解郁，养血通经。
HVP2228,三妙散,黄连30g，苍术30g，姜黄30g。,,急性湿疹。[Acute eczema.(Machine translation.)],《中医皮肤病学简编》。
HVP2229,三妙散,苍术（米泔浸，盐炒）5钱，黄柏（酒浸，炙）5钱，牛膝5钱。,,脚气。[Beriberi.(Machine translation.)],《仙拈集》卷二引《医方选要》。
HVP2230,三妙散,夏枯草5钱，金银花5钱，蒲公英5钱。,,结核瘰疬遍满脖项者。[Tuberculous scrofula all over the neck.(Machine translation.)],《仙拈集》卷四引《济世奇方》。
HVP2231,香木洗剂,香附30g，木贼36g，板兰根30g。,,青年扁平疣。[Verruca plana in youth.(Machine translation.)],《中医皮肤病学简编》。
HVP2232,板蓝根复方,板蓝根15g，蒲公英15g，连翘15g，黄芩9g，朱茯神9g，柏子仁9g，茯苓9g，甘草9g。,,带状疱疹。[zoster.(Machine translation.)],《中医皮肤病学简编》。
HVP2233,草乌洗剂,川乌9g，草乌9g，当归9g，透骨草12g，红花6g。,,冻疮。[chilblains.(Machine translation.)],《中医皮肤病学简编》。
HVP2234,麻黄蛇床子粉,麻黄根31g，蛇床子31g，牡蛎31g，炉甘石31g，干姜31g。,,"多汗症，痱子，荨麻疹。[Hyperhidrosis, rash, urticaria.(Machine translation.)]",《中医皮肤病学简编》。
HVP2235,细辛醋糊剂,细辛（细末）3-6g。,,鹅口疮。[Thrush.(Machine translation.)],《中医皮肤病学简编》。
HVP2236,五蜂石软膏,蜂蜜25-30g，五倍子10g，炉甘石10g。,,氢氟酸灼伤。[Hydrofluoric acid burns.(Machine translation.)],《中医皮肤病学简编》。
HVP2237,釜底抽薪散,吴茱萸15g，胡黄连9g，大黄9g，生南星15g。,,"口炎，虚火者。口色淡红，满口白斑微点，轻度溃烂，显露裂纹，夜间潮热，不渴，便溏尿数，舌质红无苔，脉虚。[Stomatitis, deficiency fire. Mouth color is light red, full of white spots, slight ulceration, exposed cracks, hot at night, not thirsty, loose stool, urine, red tongue without moss, pulse deficiency.(Machine translation.)]",《中医皮肤病学简编》。
HVP2238,花叶洗剂,野菊花1500g，千里光1000g，土荆芥500g，食盐30g。,,湿润糜烂性皮肤病。[Moist erosive skin disease.(Machine translation.)],《中医皮肤病学简编》。
HVP2239,狼毒洗剂,狼毒6g，苦参62g。,,慢性湿疹。[Chronic eczema.(Machine translation.)],《中医皮肤病学简编》。
HVP2240,冰石散,煅石膏31g，冰片1g。,,疮疡糜烂。[Ulcers and erosion.(Machine translation.)],《中医皮肤病学简编》。
HVP2241,五灵脂散,五灵脂（水飞）31g，雄黄15g。,,毒蛇咬伤。[Snake bites.(Machine translation.)],《中医皮肤病学简编》。
HVP2242,五灵脂散,五灵脂2两。,,心痛。[Heartache.(Machine translation.)],《圣济总录》卷五十五。
HVP2243,五灵脂散,五灵脂（炒令过熟出尽烟）。,,经候不止。[The menstrual syndrome is not enough.(Machine translation.)],《女科百问》卷上。
HVP2244,五灵脂散,五灵脂（炒为末）。,,大便下血。[There is blood in the stool.(Machine translation.)],《脉因证治》卷上。
HVP2245,加味白虎汤,石膏3钱，知母1钱半，人参1钱，甘草5分，黄芩1钱，杏仁1钱，栀子1钱，麦冬2钱，五味子15粒（打）。,,上焦消渴热甚。[Shangjiao is very thirsty.(Machine translation.)],《简明医彀》卷四。
HVP2246,黄连散,黄连1两，生姜4两。,,脾泻久有热者。[The spleen diarrhea has been hot for a long time.(Machine translation.)],《仙拈集》卷一。
HVP2247,黄连散,黄连1分（去须），干姜半分（炮裂）。,,口吻恶疮。[A sore in the mouth.(Machine translation.)],《圣惠》卷三十六。
HVP2248,黄连散,黄连2两（去须，微炒），黄芩1两，当归1两（锉，微炒），黄柏1两（锉），赤石脂1两。,,"热痢，烦渴腹痛。[Dysentery, thirst, abdominal pain.(Machine translation.)]",《圣惠》卷五十九。
HVP2249,黄连散,黄连1两（去须），黄柏1两（锉），地榆1两（锉），白芷1两。,,痈已溃。[The carbuncle has ulcerated.(Machine translation.)],《圣惠》卷六十一。
HVP2250,蛇床百部酊,蛇床子200g，百部200g。,,"皮肤搔痒症，神经性皮炎。[Pruritus, neurodermatitis.(Machine translation.)]",《中医皮肤病学简编》。
HVP2251,养阴生肌散,雄黄20g，青黛20g，甘草20g，冰片2g，牛黄10g，黄柏10g，龙胆草10g。,,口炎。[Stomatitis.(Machine translation.)],《中医皮肤病学简编》。
HVP2252,五倍子散,孩儿茶（为末）、五倍子（烧灰存性）、龙骨。,,下疳疮。[Chancroid.(Machine translation.)],《普济方》卷三○一。
HVP2253,菊花散,菊花4两（炒），防风2两（去芦头），白蒺藜1两（炒过，捣去角），牛蒡子1两（炒熟），甘草1分（炙）。,,"肝肾风毒气冲目，肿痛昏暗。[The wind of liver and kidney, the poisonous gas rushing to the eyes, the swelling and pain are dim.(Machine translation.)]",《圣济总录》卷一○八。
HVP2254,菊花散,菊花1两，防风1两（去叉），木通1两（锉），木贼1两（锉），仙灵脾1两（锉），荆芥1两（去梗），甘草（炙）1两。,,"眼目肤翳侵及瞳仁，如蝇翅状。[Eye pannus invasion and pupil, such as fly wing.(Machine translation.)]",《圣济总录》卷一一一。
HVP2255,吴茱萸散,吴茱萸半两（汤浸7遍，微炒），五味子1两。,,"产后体虚，汗出心烦，食少，四肢羸弱，涩涩恶寒。[Postpartum body deficiency, sweating, upset, less food, weak limbs, astringency and aversion to cold.(Machine translation.)]",《圣惠》卷七十八。
HVP2256,吴茱萸散,吴茱萸1两（汤浸7遍，焙干，微炒），厚朴2两（去粗皮，涂生姜汁，炙令香熟），半夏3分（汤洗7遍，去滑），麻黄1两（去根节），肉桂1两（去粗皮），干姜3分（炮裂，锉），白术半两，附子3分（炮裂，去皮脐），细辛半两，天南星半两（炮裂），木香半两。,,阴毒伤寒。[Yin toxin typhoid fever.(Machine translation.)],《圣惠》卷十一。功效:回阳。
HVP2257,吴茱萸散,吴茱萸半两（汤浸7遍，焙干，微炒），厚朴1两（去粗皮，涂生姜汁，炙令香熟）。,,"霍乱吐逆下利，心腹胀满，脚转筋，手足冷。[Cholera vomits against the next benefit, the heart and abdomen is full, the foot turns muscle, the hand foot is cold.(Machine translation.)]",《圣惠》卷四十七。
HVP2258,吴茱萸散,吴茱萸（水浸一宿，焙干，炒）半两，鹤虱（微炒）1两半。,,蛔心痛。[Ascaris lumbricoides heartache.(Machine translation.)],《圣济总录》卷五十六。
HVP2259,吴茱萸散,吴茱萸。,,蛇蝎螫人。[Snakes and scorpions sting.(Machine translation.)],《普济方》卷三○六。
HVP2260,吴茱萸散,吴茱萸（炒，为末）。,,气滞痈肿。[Qi stagnation and carbuncle swelling.(Machine translation.)],《疡科选粹》卷一。功效:疏散。
HVP2261,苦参水,苦参93g，野菊花15g，白鲜皮9g。,,脂溢性皮炎。[Seborrheic dermatitis.(Machine translation.)],《中医皮肤病学简编》。
HVP2262,三黄散糊剂,大黄62g，黄芩62g，黄柏62g。,,汤火伤。[The soup was burned.(Machine translation.)],《中医皮肤病学简编》。
HVP2263,七宝丹,人参半两，紫河车1分，白茯苓1分，龙齿1分，甘草（炙）1分，麝香1钱（研）。,,小儿惊悸。[Palpitation in children.(Machine translation.)],《永乐大典》卷九八一引《小儿保生要方》。
HVP2264,徐长卿洗剂,徐长卿31g。,,"牛皮癣，带状疱疹。[Psoriasis, herpes zoster.(Machine translation.)]",《中医皮肤病学简编》。
HVP2265,碧玉散,硼砂3钱，胆矾3分，冰片3分。,,"喉瘤。形如圆眼核大，红丝相裹，或单或双，生于喉旁，亦有顶大蒂小者，属肝胆郁怒郁热而成。[Laryngeal tumor. It is shaped like a round eye, with a big nucleus, wrapped in red silk, or single or double. It is born near the throat, and also has a big top and a small pedicle. It is formed by stagnation of anger and heat in the liver and gallbladder.(Machine translation.)]",《外科证治全书》卷二。
HVP2266,碧玉散,滑石1两，青黛5钱，石膏（煅）5钱，甘草5钱。,,"小儿十分潮热，5-7日不退。[Children are very hot, 5-7 days does not retreat.(Machine translation.)]",《幼科证治大全》。
HVP2267,蛇床鹤虱粉,蛇床子10g，鹤虱10g，黄柏10g。,,足癣糜烂型。[Tinea pedis erosive type.(Machine translation.)],《中医皮肤病学简编》。
HVP2268,甘草水,甘草（切碎）40g。,,"急性湿疹，湿润糜烂，流水淋漓。[Acute eczema, moist erosion, dripping water.(Machine translation.)]",《中医皮肤病学简编》。
HVP2269,黄连油膏,黄连25g，蓖麻油75g。,,急性湿疹。[Acute eczema.(Machine translation.)],《中医皮肤病学简编》。
HVP2270,黄柏散,黄柏78g，青黛6g，肉桂3g，冰片1g。,,口炎。[Stomatitis.(Machine translation.)],《中医皮肤病学简编》。
HVP2271,黄柏散,黄柏（去粗皮，炙，锉）半两，白敛半两。,,"小儿冻耳成疮，或痒或痛。[Children's frozen ears become sores, or itching or pain.(Machine translation.)]",《圣惠》卷九十一。
HVP2272,千里光洗剂,千里光31～93g。,,"湿疹，皮炎。[Eczema, dermatitis.(Machine translation.)]",《中医皮肤病学简编》。
HVP2273,狼毒浸剂,黄柏500g，龙骨500g，狼毒500g。,,稻田皮炎。[Paddy field dermatitis.(Machine translation.)],《中医皮肤病学简编》。
HVP2274,冰片散,石膏2两，冰片3分。,,口齿咽喉痛。[I have a sore throat.(Machine translation.)],《全国中药成药处方集》（呼和浩特方）。
HVP2275,冰片散,牛脑2分，孩儿茶1钱2分。,,伤手疮。[I hurt my hand.(Machine translation.)],《鲁府禁方》卷四。
HVP2276,三白散,白薇1钱，白蔹1钱，白芍1钱。,,遗尿滑脱之有热者。[Enuresis slippage has heat.(Machine translation.)],《嵩崖尊生》卷十三。
HVP2277,苦参苡米洗剂,苦参15g，苡米12g，甘草12g。,,黄水疮。[Yellow water sores.(Machine translation.)],《中医皮肤病学简编》。
HVP2278,地黄膏,生地黄（净洗，切，研）2两，黑豆2两（生捣末）。,,暴赤眼肿痛。[The eye is swollen and painful.(Machine translation.)],《圣济总录》卷一○四。
HVP2279,地黄膏,生地黄（酒洗净）1斤。,,"血虚生疮，肌肤燥痒，自汗，遗精便多，妇人乳少。[Blood deficiency causes sores, skin dryness and itching, self perspiration, more ejaculation and less milk.(Machine translation.)]",《济阳纲目》卷六十四。
HVP2280,炉倍油膏,炉甘石9g，五倍子9g，冰片3g，黄连15g。,,湿疹。[Eczema.(Machine translation.)],《中医皮肤病学简编》。
HVP2281,白鲜皮汤,白鲜皮半两，人参半两，白芷半两，防风（去叉）半两，黄芩（去黑心）半两，知母（焙）半两，沙参半两，犀角（镑）半两，甘草（炙）1分。,,小儿潮热。[Hot flashes in children.(Machine translation.)],《圣济总录》卷一六八。
HVP2282,雄黄膏,雄黄1钱，杏仁7粒，半夏7个（童便浸1宿，焙）。,,月内并三岁儿嗽。[Cough was found in a 3-year-old child.(Machine translation.)],《幼幼新书》卷十六。
HVP2283,雄黄膏,雄黄1两，硫黄1两（并细研）。,,身上诸恶疮。[All kinds of sores on the body.(Machine translation.)],《普济方》卷二七五引《十便良方》。
HVP2284,硫黄膏,硫黄（研）1钱。,,"肺脏风毒，面部生疮。[Lung wind poison, facial sores.(Machine translation.)]",《圣济总录》卷五十。
HVP2285,五虎丹,当归3两5钱，天南星（炙）3两5钱，红花3两5钱，白芷2两4钱，防风3两5钱。,,"跌打损伤，瘀血不散，红肿疼痛。[Traumatic injury, blood stasis, swelling and pain.(Machine translation.)]",《北京市中药成方选集》。功效:活血化瘀，消肿止痛。
HVP2286,朱砂煎,黄连5钱，黄柏5钱，秦皮5钱，细辛5钱，白芷5钱，乳香1钱，朱砂（飞过）1分，冰片1分，蜂蜜2两。,,白膜侵睛。[The white film invades the eyes.(Machine translation.)],《中医眼科学讲义》。功效:清热退翳。
HVP2287,疏风清热汤,荆芥、防风、牛蒡子、甘草、金银花、连翘、桑白皮、赤芍、桔梗、黄芩、天花粉、玄参、浙贝母。,,"风热喉痹。咽部干燥灼热，微痛，吞咽感觉不利，其后疼痛逐渐加重，有异物阻塞感。[Wind heat and throat obstruction. Pharyngeal dry hot, slight pain, dysphagia, and then gradually aggravated pain, foreign body obstruction.(Machine translation.)]",《中医耳鼻喉科学》。功效:疏风清热，解毒利咽。
